"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2014","Slovenia","Oil and petroleum products","Total","Thousand tonnes","1.393,000",""
"2014","Slovakia","Oil and petroleum products","Total","Thousand tonnes","3.653,000",""
"2014","Finland","Oil and petroleum products","Total","Thousand tonnes","8.502,000",""
"2014","Sweden","Oil and petroleum products","Total","Thousand tonnes","12.565,000",""
"2014","Iceland","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2014","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2014","Norway","Oil and petroleum products","Total","Thousand tonnes","79.413,000",""
"2014","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","53.697,000",""
"2014","Montenegro","Oil and petroleum products","Total","Thousand tonnes","11,000",""
"2014","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","187,000",""
"2014","Albania","Oil and petroleum products","Total","Thousand tonnes","1.209,000",""
"2014","Serbia","Oil and petroleum products","Total","Thousand tonnes","662,000",""
"2014","Turkey","Oil and petroleum products","Total","Thousand tonnes","6.951,000",""
"2014","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","306,000",""
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","2,000",""
"2014","Moldova","Oil and petroleum products","Total","Thousand tonnes","18,000",""
"2014","Ukraine","Oil and petroleum products","Total","Thousand tonnes","827,000",""
"2014","Georgia","Oil and petroleum products","Total","Thousand tonnes","66,000",""
"2015","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","341.303,205",""
"2015","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","397.888,205",""
"2015","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","287.818,537",""
"2015","Belgium","Oil and petroleum products","Total","Thousand tonnes","29.223,000",""
"2015","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","4.452,000",""
"2015","Czechia","Oil and petroleum products","Total","Thousand tonnes","2.493,000",""
"2015","Denmark","Oil and petroleum products","Total","Thousand tonnes","13.477,668",""
"2015","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","22.635,000",""
"2015","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.101,000",""
"2015","Ireland","Oil and petroleum products","Total","Thousand tonnes","1.772,000",""
"2015","Greece","Oil and petroleum products","Total","Thousand tonnes","16.236,000",""
"2015","Spain","Oil and petroleum products","Total","Thousand tonnes","23.243,000",""
"2015","France","Oil and petroleum products","Total","Thousand tonnes","21.203,000",""
"2015","Croatia","Oil and petroleum products","Total","Thousand tonnes","1.854,000",""
"2015","Italy","Oil and petroleum products","Total","Thousand tonnes","27.924,000",""
"2015","Cyprus","Oil and petroleum products","Total","Thousand tonnes","23,000",""
"2015","Latvia","Oil and petroleum products","Total","Thousand tonnes","949,000",""
"2015","Lithuania","Oil and petroleum products","Total","Thousand tonnes","8.340,000",""
"2015","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","6,686",""
"2015","Hungary","Oil and petroleum products","Total","Thousand tonnes","2.877,000",""
"2015","Malta","Oil and petroleum products","Total","Thousand tonnes","532,000",""
"2015","Netherlands","Oil and petroleum products","Total","Thousand tonnes","112.040,737",""
"2015","Austria","Oil and petroleum products","Total","Thousand tonnes","2.833,114",""
"2015","Poland","Oil and petroleum products","Total","Thousand tonnes","8.501,000",""
"2015","Portugal","Oil and petroleum products","Total","Thousand tonnes","6.802,000",""
"2015","Romania","Oil and petroleum products","Total","Thousand tonnes","4.769,000",""
"2015","Slovenia","Oil and petroleum products","Total","Thousand tonnes","1.717,000",""
"2015","Slovakia","Oil and petroleum products","Total","Thousand tonnes","4.391,000",""
"2015","Finland","Oil and petroleum products","Total","Thousand tonnes","6.847,000",""
"2015","Sweden","Oil and petroleum products","Total","Thousand tonnes","15.061,000",""
"2015","Iceland","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2015","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2015","Norway","Oil and petroleum products","Total","Thousand tonnes","83.132,000",""
"2015","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","56.585,000",""
"2015","Montenegro","Oil and petroleum products","Total","Thousand tonnes","16,000",""
"2015","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","173,000",""
"2015","Albania","Oil and petroleum products","Total","Thousand tonnes","1.158,000",""
"2015","Serbia","Oil and petroleum products","Total","Thousand tonnes","771,000",""
"2015","Turkey","Oil and petroleum products","Total","Thousand tonnes","7.588,000",""
