"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2017","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","956.186,527",""
"2017","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","747.038,961",""
"2017","Belgium","Oil and petroleum products","Total","Thousand tonnes","62.852,500",""
"2017","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","9.551,151",""
"2017","Czechia","Oil and petroleum products","Total","Thousand tonnes","11.682,000",""
"2017","Denmark","Oil and petroleum products","Total","Thousand tonnes","10.461,818",""
"2017","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","131.803,000",""
"2017","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.889,210",""
"2017","Ireland","Oil and petroleum products","Total","Thousand tonnes","8.920,970",""
"2017","Greece","Oil and petroleum products","Total","Thousand tonnes","33.511,532",""
"2017","Spain","Oil and petroleum products","Total","Thousand tonnes","89.162,000",""
"2017","France","Oil and petroleum products","Total","Thousand tonnes","99.037,000",""
"2017","Croatia","Oil and petroleum products","Total","Thousand tonnes","5.195,566",""
"2017","Italy","Oil and petroleum products","Total","Thousand tonnes","84.683,976",""
"2017","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.650,977",""
"2017","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.541,332",""
"2017","Lithuania","Oil and petroleum products","Total","Thousand tonnes","11.210,000",""
"2017","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","2.852,330",""
"2017","Hungary","Oil and petroleum products","Total","Thousand tonnes","9.777,000",""
"2017","Malta","Oil and petroleum products","Total","Thousand tonnes","2.928,125",""
"2017","Netherlands","Oil and petroleum products","Total","Thousand tonnes","150.901,702",""
"2017","Austria","Oil and petroleum products","Total","Thousand tonnes","14.205,570",""
"2017","Poland","Oil and petroleum products","Total","Thousand tonnes","34.469,138",""
"2017","Portugal","Oil and petroleum products","Total","Thousand tonnes","18.030,225",""
"2017","Romania","Oil and petroleum products","Total","Thousand tonnes","11.176,063",""
"2017","Slovenia","Oil and petroleum products","Total","Thousand tonnes","4.719,512",""
"2017","Slovakia","Oil and petroleum products","Total","Thousand tonnes","7.563,000",""
"2017","Finland","Oil and petroleum products","Total","Thousand tonnes","17.576,000",""
"2017","Sweden","Oil and petroleum products","Total","Thousand tonnes","29.089,000",""
"2017","Iceland","Oil and petroleum products","Total","Thousand tonnes","963,198",""
"2017","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","32,000",""
"2017","Norway","Oil and petroleum products","Total","Thousand tonnes","7.835,000",""
"2017","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","87.745,830",""
"2017","Montenegro","Oil and petroleum products","Total","Thousand tonnes","402,600",""
"2017","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.117,123",""
"2017","Albania","Oil and petroleum products","Total","Thousand tonnes","1.142,240",""
"2017","Serbia","Oil and petroleum products","Total","Thousand tonnes","3.581,823",""
"2017","Turkey","Oil and petroleum products","Total","Thousand tonnes","52.304,000",""
"2017","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","1.946,000",""
"2017","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","759,711",""
"2017","Moldova","Oil and petroleum products","Total","Thousand tonnes","937,000",""
"2017","Ukraine","Oil and petroleum products","Total","Thousand tonnes","10.625,000",""
"2017","Georgia","Oil and petroleum products","Total","Thousand tonnes","1.590,200",""
"2018","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","856.749,198",""
"2018","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","944.673,829",""
"2018","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","733.032,677",""
"2018","Belgium","Oil and petroleum products","Total","Thousand tonnes","64.669,300",""
"2018","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","8.048,519",""
"2018","Czechia","Oil and petroleum products","Total","Thousand tonnes","11.853,000",""
"2018","Denmark","Oil and petroleum products","Total","Thousand tonnes","10.803,447",""
"2018","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","125.546,000",""
"2018","Estonia","Oil and petroleum products","Total","Thousand tonnes","2.058,600",""
"2018","Ireland","Oil and petroleum products","Total","Thousand tonnes","9.018,537",""
"2018","Greece","Oil and petroleum products","Total","Thousand tonnes","34.159,938",""
"2018","Spain","Oil and petroleum products","Total","Thousand tonnes","88.457,000",""
"2018","France","Oil and petroleum products","Total","Thousand tonnes","95.544,795",""
"2018","Croatia","Oil and petroleum products","Total","Thousand tonnes","5.208,761",""
"2018","Italy","Oil and petroleum products","Total","Thousand tonnes","81.297,220",""
"2018","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.600,472",""
"2018","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.433,091",""
"2018","Lithuania","Oil and petroleum products","Total","Thousand tonnes","10.800,100",""
"2018","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","3.001,091",""
"2018","Hungary","Oil and petroleum products","Total","Thousand tonnes","10.810,000",""
"2018","Malta","Oil and petroleum products","Total","Thousand tonnes","3.013,974",""
"2018","Netherlands","Oil and petroleum products","Total","Thousand tonnes","149.220,962",""
"2018","Austria","Oil and petroleum products","Total","Thousand tonnes","15.006,069",""
"2018","Poland","Oil and petroleum products","Total","Thousand tonnes","36.185,728",""
"2018","Portugal","Oil and petroleum products","Total","Thousand tonnes","16.522,590",""
"2018","Romania","Oil and petroleum products","Total","Thousand tonnes","11.715,066",""
"2018","Slovenia","Oil and petroleum products","Total","Thousand tonnes","4.751,938",""
"2018","Slovakia","Oil and petroleum products","Total","Thousand tonnes","7.384,000",""
"2018","Finland","Oil and petroleum products","Total","Thousand tonnes","17.547,000",""
"2018","Sweden","Oil and petroleum products","Total","Thousand tonnes","29.092,000",""
"2018","Iceland","Oil and petroleum products","Total","Thousand tonnes","1.110,614",""
